Crop,Best Planting Months,Best Harvesting Months
Vitunguu,"Sept, Oct, Nov, Dec","Feb, Mar, Apr, May, Jun, Jul"
Nyanya,"Sept, Oct, Nov, Dec","Jan, Feb, Mar, Apr, May"
Hohokijani,"Oct, Nov","Feb, Mar, Apr"
Karoti,"Jul, Aug, Sep, Oct","Oct, Nov, Dec, Jan, Feb, Mar"
Matango,"Dec, Jan","Feb, Mar, Apr, May"
Viazimviringo,"Dec, Jan, Feb","Mar, Apr, May, Jun"
Tikitimaji,"Jan, Feb, Aug, Sept","Mar, Apr, Oct, Nov, Dec"
Hohozarangi,"Feb, Mar","Jun, Jul, Aug, Sep, Oct, Nov"
Tangawizi,"Dec, Jan, Feb","Apr, May, Jun, Jul"
